"time","output_value","slope"
0,0,2
0.02,0.04,2
0.04,0.08,2
0.06,0.12,2
0.08,0.16,2
0.1,0.2,2
0.12,0.24,2
0.14,0.28,2
0.16,0.32,2
0.18,0.36,2
0.2,0.4,2
0.22,0.44,2
0.24,0.48,2
0.26,0.52,2
0.28,0.56,2
0.3,0.6,2
0.32,0.64,2
0.34,0.68,2
0.36,0.72,2
0.38,0.76,2
0.4,0.8,2
0.42,0.84,2
0.44,0.88,2
0.46,0.92,2
0.48,0.96,2
0.5,1,2
0.52,1.04,2
0.54,1.08,2
0.56,1.12,2
0.58,1.16,2
0.6,1.2,2
0.62,1.24,2
0.64,1.28,2
0.66,1.32,2
0.68,1.36,2
0.7,1.4,2
0.72,1.44,2
0.74,1.48,2
0.76,1.52,2
0.78,1.56,2
0.8,1.6,2
0.82,1.64,2
0.84,1.68,2
0.86,1.72,2
0.88,1.76,2
0.9,1.8,2
0.92,1.84,2
0.94,1.88,2
0.96,1.92,2
0.98,1.96,2
1,2,2
1.02,2.04,2
1.04,2.08,2
1.06,2.12,2
1.08,2.16,2
1.1,2.2,2
1.12,2.24,2
1.14,2.28,2
1.16,2.32,2
1.18,2.36,2
1.2,2.4,2
1.22,2.44,2
1.24,2.48,2
1.26,2.52,2
1.28,2.56,2
1.3,2.6,2
1.32,2.64,2
1.34,2.68,2
1.36,2.72,2
1.38,2.76,2
1.4,2.8,2
1.42,2.84,2
1.44,2.88,2
1.46,2.92,2
1.48,2.96,2
1.5,3,2
1.52,3.04,2
1.54,3.08,2
1.56,3.12,2
1.58,3.16,2
1.6,3.2,2
1.62,3.24,2
1.64,3.28,2
1.66,3.32,2
1.68,3.36,2
1.7,3.4,2
1.72,3.44,2
1.74,3.48,2
1.76,3.52,2
1.78,3.56,2
1.8,3.6,2
1.82,3.64,2
1.84,3.68,2
1.86,3.72,2
1.88,3.76,2
1.9,3.8,2
1.92,3.84,2
1.94,3.88,2
1.96,3.92,2
1.98,3.96,2
2,4,2
2.02,4.04,2
2.04,4.08,2
2.06,4.12,2
2.08,4.16,2
2.1,4.2,2
2.12,4.24,2
2.14,4.28,2
2.16,4.32,2
2.18,4.36,2
2.2,4.4,2
2.22,4.44,2
2.24,4.48,2
2.26,4.52,2
2.28,4.56,2
2.3,4.6,2
2.32,4.64,2
2.34,4.68,2
2.36,4.72,2
2.38,4.76,2
2.4,4.8,2
2.42,4.84,2
2.44,4.88,2
2.46,4.92,2
2.48,4.96,2
2.5,5,2
2.52,5.04,2
2.54,5.08,2
2.56,5.12,2
2.58,5.16,2
2.6,5.2,2
2.62,5.24,2
2.64,5.28,2
2.66,5.32,2
2.68,5.36,2
2.7,5.4,2
2.72,5.44,2
2.74,5.48,2
2.76,5.52,2
2.78,5.56,2
2.8,5.6,2
2.82,5.64,2
2.84,5.68,2
2.86,5.72,2
2.88,5.76,2
2.9,5.8,2
